Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CMIN3.SA,CMIN3.SA,CMIN3.SA,CMIN3.SA,CMIN3.SA,CMIN3.SA
Date,,,,,,
2021-02-22,5.518455505371094,9.289999961853027,9.300000190734863,8.670000076293945,8.920000076293945,10507000
2021-02-23,5.417473316192627,9.119999885559082,9.600000381469727,9.100000381469727,9.5,9243700
2021-02-24,5.435293197631836,9.149999618530273,9.279999732971191,9.069999694824219,9.15999984741211,6550600
2021-02-25,5.37589168548584,9.050000190734863,9.289999961853027,9.0,9.180000305175781,6054200
2021-02-26,5.30460786819458,8.930000305175781,9.170000076293945,8.899999618530273,9.149999618530273,4849000
2021-03-01,5.316488742828369,8.949999809265137,9.09000015258789,8.819999694824219,9.050000190734863,6578700
2021-03-02,5.227385997772217,8.800000190734863,9.050000190734863,8.510000228881836,8.970000267028809,6141500
2021-03-03,5.043239593505859,8.489999771118164,8.899999618530273,8.180000305175781,8.899999618530273,10191700
2021-03-04,5.019478797912598,8.449999809265137,8.550000190734863,8.09000015258789,8.510000228881836,17915200
2021-03-05,5.055119514465332,8.510000228881836,8.539999961853027,8.300000190734863,8.399999618530273,9965700
2021-03-08,5.055119514465332,8.510000228881836,8.520000457763672,8.350000381469727,8.399999618530273,4979600
2021-03-09,5.0313591957092285,8.470000267028809,8.489999771118164,8.260000228881836,8.449999809265137,3953300
2021-03-10,4.983838081359863,8.390000343322754,8.5,8.199999809265137,8.5,9782800
2021-03-11,5.049180030822754,8.5,8.729999542236328,8.3100004196167,8.449999809265137,7448100
2021-03-12,5.043239593505859,8.489999771118164,8.510000228881836,8.359999656677246,8.460000038146973,2243400
2021-03-15,5.043239593505859,8.489999771118164,8.529999732971191,8.359999656677246,8.449999809265137,2556300
2021-03-16,5.049180030822754,8.5,8.649999618530273,8.470000267028809,8.489999771118164,2252700
2021-03-17,5.120461940765381,8.619999885559082,8.729999542236328,8.449999809265137,8.510000228881836,2550800
2021-03-18,5.043239593505859,8.489999771118164,8.65999984741211,8.420000076293945,8.600000381469727,4666500
2021-03-19,5.067000389099121,8.529999732971191,8.529999732971191,8.390000343322754,8.529999732971191,2795400
2021-03-22,4.989777565002441,8.399999618530273,8.479999542236328,8.3100004196167,8.4399995803833,2194800
2021-03-23,4.94225549697876,8.319999694824219,8.4399995803833,8.239999771118164,8.399999618530273,2289600
2021-03-24,4.9660162925720215,8.359999656677246,8.40999984741211,8.3100004196167,8.380000114440918,1764200
2021-03-25,4.930375576019287,8.300000190734863,8.550000190734863,8.300000190734863,8.5,4809400
2021-03-26,4.9660162925720215,8.359999656677246,8.5,8.3100004196167,8.449999809265137,4067400
2021-03-29,5.447174072265625,9.170000076293945,9.199999809265137,8.359999656677246,8.359999656677246,10506900
2021-03-30,5.3580708503723145,9.020000457763672,9.4399995803833,9.0,9.149999618530273,8874400
2021-03-31,5.459053993225098,9.1899995803833,9.25,9.050000190734863,9.050000190734863,5409900
2021-04-01,5.37589168548584,9.050000190734863,9.420000076293945,9.020000457763672,9.300000190734863,6402600
2021-04-05,5.464994430541992,9.199999809265137,9.300000190734863,9.170000076293945,9.180000305175781,3784100
2021-04-06,5.494696140289307,9.25,9.369999885559082,9.210000038146973,9.220000267028809,4143800
2021-04-07,5.57191801071167,9.380000114440918,9.380000114440918,9.260000228881836,9.34000015258789,4412700
2021-04-08,5.524396896362305,9.300000190734863,9.5,9.300000190734863,9.390000343322754,4841100
2021-04-09,5.565978050231934,9.369999885559082,9.430000305175781,9.15999984741211,9.300000190734863,3099000
2021-04-12,5.601620197296143,9.430000305175781,9.5,9.319999694824219,9.380000114440918,4062100
2021-04-13,5.57191801071167,9.380000114440918,9.449999809265137,9.3100004196167,9.430000305175781,3709000
2021-04-14,5.625380516052246,9.470000267028809,9.479999542236328,9.300000190734863,9.369999885559082,10782400
2021-04-15,5.756064414978027,9.6899995803833,9.770000457763672,9.529999732971191,9.529999732971191,10601300
2021-04-16,5.6847825050354,9.569999694824219,9.829999923706055,9.470000267028809,9.6899995803833,7175300
2021-04-19,5.773885726928711,9.720000267028809,9.779999732971191,9.619999885559082,9.680000305175781,5841400
2021-04-20,5.73824405670166,9.65999984741211,10.069999694824219,9.649999618530273,9.789999961853027,7337800
2021-04-22,5.73824405670166,9.65999984741211,9.84000015258789,9.539999961853027,9.819999694824219,5257900
2021-04-23,5.79170560836792,9.75,9.859999656677246,9.680000305175781,9.75,4640400
2021-04-26,5.892689228057861,9.920000076293945,10.029999732971191,9.829999923706055,9.90999984741211,7569500
