Date,close_TIOc1,open_TIOc1,high_TIOc1,low_TIOc1
2023-01-24,121.97,121.97,121.97,121.97
2023-01-25,121.93,121.93,121.93,121.93
2023-01-26,122.49,122.49,122.49,122.49
2023-01-27,122.7,122.7,122.7,122.7
2023-01-30,123.08,123.08,123.08,123.08
2023-01-31,123.37,123.37,123.37,123.37
2023-02-01,126.33,126.33,126.33,126.33
2023-02-02,123.95,123.95,123.95,123.95
2023-02-03,125.26,125.26,125.26,125.26
2023-02-06,124.34,124.34,124.34,124.34
2023-02-07,122.75,122.75,122.75,122.75
2023-02-08,123.21,123.21,123.21,123.21
2023-02-09,124.65,124.65,124.65,124.65
2023-02-10,125.14,125.14,125.14,125.14
2023-02-13,123.76,123.76,123.76,123.76
2023-02-14,124.2,124.2,124.2,124.2
2023-02-15,124.34,124.34,124.34,124.34
2023-02-16,124.69,124.69,124.69,124.69
2023-02-17,124.94,124.94,124.94,124.94
2023-02-21,126.34,126.34,126.34,126.34
2023-02-22,125.77,125.77,125.77,125.77
2023-02-23,125.92,125.92,125.92,125.92
2023-02-24,125.85,125.85,125.85,125.85
2023-02-27,125.74,125.74,125.74,125.74
2023-02-28,125.75,125.75,125.75,125.75
2023-03-01,126.8,126.8,126.8,126.8
2023-03-02,127.02,127.02,127.02,127.02
2023-03-03,126.64,126.64,126.64,126.64
2023-03-06,125.5,125.5,125.5,125.5
2023-03-07,127.33,127.33,127.33,127.33
2023-03-08,127.37,127.37,127.37,127.37
2023-03-09,129.48,129.48,129.48,129.48
2023-03-10,129.44,129.44,129.44,129.44
2023-03-13,130.49,130.49,130.49,130.49
2023-03-14,130.04,130.04,130.04,130.04
2023-03-15,130.09,130.09,130.09,130.09
2023-03-16,128.91,128.91,128.91,128.91
2023-03-17,130.0,130.0,130.0,130.0
2023-03-20,128.26,128.26,128.26,128.26
2023-03-21,128.01,128.01,128.01,128.01
2023-03-22,127.73,127.73,127.73,127.73
2023-03-23,126.66,126.66,126.66,126.66
2023-03-24,126.01,126.01,126.01,126.01
2023-03-27,126.01,126.01,126.01,126.01
2023-03-28,126.01,126.01,126.01,126.01
2023-03-29,126.01,126.01,126.01,126.01
2023-03-30,126.01,126.01,126.01,126.01
2023-03-31,127.06,127.06,127.06,127.06
2023-04-03,122.19,122.19,122.19,122.19
2023-04-04,120.24,120.24,120.24,120.24
2023-04-05,119.67,119.67,119.67,119.67
2023-04-06,119.16,119.16,119.16,119.16
2023-04-10,119.75,119.75,119.75,119.75
2023-04-11,121.05,121.05,121.05,121.05
2023-04-12,120.5,120.5,120.5,120.5
2023-04-13,119.92,119.92,119.92,119.92
2023-04-14,119.11,119.11,119.11,119.11
2023-04-17,120.01,120.01,120.01,120.01
2023-04-18,120.34,120.34,120.34,120.34
2023-04-19,120.26,120.26,120.26,120.26
2023-04-20,119.31,119.31,119.31,119.31
2023-04-21,117.21,117.21,117.21,117.21
2023-04-24,116.76,116.76,116.76,116.76
2023-04-25,117.6,117.6,117.6,117.6
2023-04-26,116.71,116.71,116.71,116.71
2023-04-27,116.21,116.21,116.21,116.21
2023-04-28,116.14,116.14,116.14,116.14
2023-05-01,103.61,103.61,103.61,103.61
2023-05-02,106.01,106.01,106.01,106.01
2023-05-03,105.48,105.48,105.48,105.48
2023-05-04,103.87,103.87,103.87,103.87
2023-05-05,103.55,103.55,103.55,103.55
2023-05-08,107.4,107.4,107.4,107.4
2023-05-09,106.05,106.05,106.05,106.05
2023-05-10,106.85,106.85,106.85,106.85
2023-05-11,104.8,104.8,104.8,104.8
2023-05-12,105.16,105.16,105.16,105.16
2023-05-15,106.77,106.77,106.77,106.77
2023-05-16,106.84,106.84,106.84,106.84
2023-05-17,107.38,107.38,107.38,107.38
2023-05-18,107.27,107.27,107.27,107.27
2023-05-19,107.1,107.1,107.1,107.1
2023-05-22,107.16,107.16,107.16,107.16
2023-05-23,106.54,106.54,106.54,106.54
2023-05-24,105.56,105.56,105.56,105.56
2023-05-25,105.6,105.6,105.6,105.6
2023-05-26,105.41,105.41,105.41,105.41
