Date,close_TIOc1,open_TIOc1,high_TIOc1,low_TIOc1
2021-11-01,102.58,102.58,102.58,102.58
2021-11-02,99.4,99.4,99.4,99.4
2021-11-03,99.35,99.35,99.35,99.35
2021-11-04,97.17,97.17,97.17,97.17
2021-11-05,94.43,94.43,94.43,94.43
2021-11-08,94.36,94.36,94.36,94.36
2021-11-09,91.98,91.98,91.98,91.98
2021-11-10,92.19,92.19,92.19,92.19
2021-11-11,93.63,93.63,93.63,93.63
2021-11-12,93.4,93.4,93.4,93.4
2021-11-15,92.36,92.36,92.36,92.36
2021-11-16,92.01,92.01,92.01,92.01
2021-11-17,92.76,92.76,92.76,92.76
2021-11-18,92.01,92.01,92.01,92.01
2021-11-19,92.78,92.78,92.78,92.78
2021-11-22,93.39,93.39,93.39,93.39
2021-11-23,93.99,93.99,93.99,93.99
2021-11-24,94.33,94.33,94.33,94.33
2021-11-26,94.44,94.44,94.44,94.44
2021-11-29,94.71,94.71,94.71,94.71
2021-11-30,94.97,94.97,94.97,94.97
2021-12-01,103.17,103.17,103.17,103.17
2021-12-02,101.82,101.82,101.82,101.82
2021-12-03,101.49,101.49,101.49,101.49
2021-12-06,103.74,103.74,103.74,103.74
2021-12-07,108.04,108.04,108.04,108.04
2021-12-08,106.77,106.77,106.77,106.77
2021-12-09,106.49,106.49,106.49,106.49
2021-12-10,105.0,105.0,105.0,105.0
2021-12-13,108.51,108.51,108.51,108.51
2021-12-14,107.04,107.04,107.04,107.04
2021-12-15,109.22,109.22,109.22,109.22
2021-12-16,111.19,111.19,111.19,111.19
2021-12-17,111.64,111.64,111.64,111.64
2021-12-20,113.79,113.79,113.79,113.79
2021-12-21,113.64,113.64,113.64,113.64
2021-12-22,112.54,112.54,112.54,112.54
2021-12-23,112.54,112.54,112.54,112.54
2021-12-27,112.99,112.99,112.99,112.99
2021-12-28,112.29,112.29,112.29,112.29
2021-12-29,112.34,112.34,112.34,112.34
2021-12-30,112.24,112.24,112.24,112.24
2021-12-31,112.5,112.5,112.5,112.5
2022-01-03,120.4,120.4,120.4,120.4
2022-01-04,120.91,120.91,120.91,120.91
2022-01-05,124.14,124.14,124.14,124.14
2022-01-06,125.94,125.94,125.94,125.94
2022-01-07,126.21,126.21,126.21,126.21
2022-01-10,124.48,124.48,124.48,124.48
2022-01-11,126.75,126.75,126.75,126.75
2022-01-12,128.66,128.66,128.66,128.66
2022-01-13,127.84,127.84,127.84,127.84
2022-01-14,126.24,126.24,126.24,126.24
2022-01-18,127.48,127.48,127.48,127.48
2022-01-19,127.41,127.41,127.41,127.41
2022-01-20,129.09,129.09,129.09,129.09
2022-01-21,129.49,129.49,129.49,129.49
2022-01-24,128.74,128.74,128.74,128.74
2022-01-25,129.94,129.94,129.94,129.94
2022-01-26,129.4,129.4,129.4,129.4
2022-01-27,129.96,129.96,129.96,129.96
2022-01-28,130.81,130.81,130.81,130.81
2022-01-31,131.15,131.15,131.15,131.15
2022-02-01,138.79,138.79,138.79,138.79
2022-02-02,139.98,139.98,139.98,139.98
2022-02-03,145.95,145.95,145.95,145.95
2022-02-04,145.45,145.45,145.45,145.45
2022-02-07,150.11,150.11,150.11,150.11
2022-02-08,148.83,148.83,148.83,148.83
2022-02-09,147.64,147.64,147.64,147.64
2022-02-10,151.57,151.57,151.57,151.57
2022-02-11,150.87,150.87,150.87,150.87
2022-02-14,146.76,146.76,146.76,146.76
2022-02-15,144.89,144.89,144.89,144.89
2022-02-16,142.23,142.23,142.23,142.23
2022-02-17,143.88,143.88,143.88,143.88
2022-02-18,141.11,141.11,141.11,141.11
2022-02-22,143.26,143.26,143.26,143.26
2022-02-23,142.96,142.96,142.96,142.96
2022-02-24,142.66,142.66,142.66,142.66
2022-02-25,141.76,141.76,141.76,141.76
2022-02-28,141.99,141.99,141.99,141.99
2022-03-01,143.45,143.45,143.45,143.45
2022-03-02,146.07,146.07,146.07,146.07
2022-03-03,151.11,151.11,151.11,151.11
2022-03-04,152.28,152.28,152.28,152.28
2022-03-07,158.82,158.82,158.82,158.82
2022-03-08,160.96,160.96,160.96,160.96
2022-03-09,157.59,157.59,157.59,157.59
2022-03-10,156.95,156.95,156.95,156.95
2022-03-11,155.36,155.36,155.36,155.36
2022-03-14,150.11,150.11,150.11,150.11
2022-03-15,144.77,144.77,144.77,144.77
2022-03-16,148.85,148.85,148.85,148.85
2022-03-17,149.65,149.65,149.65,149.65
2022-03-18,150.59,150.59,150.59,150.59
2022-03-21,150.47,150.47,150.47,150.47
2022-03-22,149.68,149.68,149.68,149.68
2022-03-23,149.57,149.57,149.57,149.57
2022-03-24,149.63,149.63,149.63,149.63
2022-03-25,149.87,149.87,149.87,149.87
2022-03-28,150.14,150.14,150.14,150.14
2022-03-29,150.14,150.14,150.14,150.14
2022-03-30,150.61,150.61,150.61,150.61
2022-03-31,150.84,150.84,150.84,150.84
2022-04-01,159.85,159.85,159.85,159.85
2022-04-04,161.84,161.84,161.84,161.84
2022-04-05,161.25,161.25,161.25,161.25
2022-04-06,160.08,160.08,160.08,160.08
2022-04-07,157.29,157.29,157.29,157.29
2022-04-08,154.21,154.21,154.21,154.21
2022-04-11,155.94,155.94,155.94,155.94
2022-04-12,155.56,155.56,155.56,155.56
2022-04-13,154.67,154.67,154.67,154.67
2022-04-14,155.69,155.69,155.69,155.69
2022-04-18,155.62,155.62,155.62,155.62
2022-04-19,154.58,154.58,154.58,154.58
2022-04-20,154.41,154.41,154.41,154.41
2022-04-21,154.27,154.27,154.27,154.27
2022-04-22,154.13,154.13,154.13,154.13
2022-04-25,152.47,152.47,152.47,152.47
2022-04-26,152.08,152.08,152.08,152.08
2022-04-27,151.62,151.62,151.62,151.62
2022-04-28,151.19,151.19,151.19,151.19
2022-04-29,150.77,150.77,150.77,150.77
2022-05-02,144.08,144.08,144.08,144.08
2022-05-03,144.08,144.08,144.08,144.08
2022-05-04,142.9,142.9,142.9,142.9
2022-05-05,144.9,144.9,144.9,144.9
2022-05-06,136.91,136.91,136.91,136.91
2022-05-09,133.31,133.31,133.31,133.31
2022-05-10,131.9,131.9,131.9,131.9
2022-05-11,134.26,134.26,134.26,134.26
2022-05-12,131.98,131.98,131.98,131.98
2022-05-13,132.33,132.33,132.33,132.33
2022-05-16,132.96,132.96,132.96,132.96
2022-05-17,132.61,132.61,132.61,132.61
2022-05-18,130.81,130.81,130.81,130.81
2022-05-19,131.92,131.92,131.92,131.92
2022-05-20,133.66,133.66,133.66,133.66
2022-05-23,133.99,133.99,133.99,133.99
2022-05-24,133.31,133.31,133.31,133.31
2022-05-25,133.27,133.27,133.27,133.27
2022-05-26,132.98,132.98,132.98,132.98
2022-05-27,133.17,133.17,133.17,133.17
2022-05-31,133.51,133.51,133.51,133.51
2022-06-01,136.95,136.95,136.95,136.95
2022-06-02,142.35,142.35,142.35,142.35
2022-06-03,144.02,144.02,144.02,144.02
2022-06-06,144.81,144.81,144.81,144.81
2022-06-07,145.88,145.88,145.88,145.88
2022-06-08,145.34,145.34,145.34,145.34
2022-06-09,143.63,143.63,143.63,143.63
2022-06-10,141.51,141.51,141.51,141.51
2022-06-13,140.34,140.34,140.34,140.34
2022-06-14,140.09,140.09,140.09,140.09
2022-06-15,137.17,137.17,137.17,137.17
2022-06-16,137.85,137.85,137.85,137.85
2022-06-17,135.69,135.69,135.69,135.69
2022-06-21,133.47,133.47,133.47,133.47
2022-06-22,127.92,127.92,127.92,127.92
2022-06-23,131.45,131.45,131.45,131.45
2022-06-24,129.71,129.71,129.71,129.71
2022-06-27,130.93,130.93,130.93,130.93
2022-06-28,131.01,131.01,131.01,131.01
2022-06-29,130.46,130.46,130.46,130.46
2022-06-30,130.0,130.0,130.0,130.0
2022-07-01,114.45,114.45,114.45,114.45
2022-07-05,113.61,113.61,113.61,113.61
2022-07-06,112.38,112.38,112.38,112.38
2022-07-07,115.14,115.14,115.14,115.14
2022-07-08,113.74,113.74,113.74,113.74
2022-07-11,109.97,109.97,109.97,109.97
2022-07-12,109.68,109.68,109.68,109.68
2022-07-13,111.05,111.05,111.05,111.05
2022-07-14,106.01,106.01,106.01,106.01
2022-07-15,104.3,104.3,104.3,104.3
2022-07-18,106.69,106.69,106.69,106.69
2022-07-19,104.76,104.76,104.76,104.76
2022-07-20,104.51,104.51,104.51,104.51
2022-07-21,105.27,105.27,105.27,105.27
2022-07-22,105.39,105.39,105.39,105.39
2022-07-25,105.42,105.42,105.42,105.42
2022-07-26,106.01,106.01,106.01,106.01
2022-07-27,106.24,106.24,106.24,106.24
2022-07-28,106.89,106.89,106.89,106.89
2022-07-29,107.22,107.22,107.22,107.22
2022-08-01,114.35,114.35,114.35,114.35
2022-08-02,113.36,113.36,113.36,113.36
2022-08-03,110.11,110.11,110.11,110.11
2022-08-04,107.03,107.03,107.03,107.03
2022-08-05,109.2,109.2,109.2,109.2
2022-08-08,110.38,110.38,110.38,110.38
2022-08-09,109.85,109.85,109.85,109.85
2022-08-10,109.63,109.63,109.63,109.63
2022-08-11,110.41,110.41,110.41,110.41
2022-08-12,109.71,109.71,109.71,109.71
2022-08-15,107.6,107.6,107.6,107.6
2022-08-16,107.37,107.37,107.37,107.37
2022-08-17,105.51,105.51,105.51,105.51
2022-08-18,106.05,106.05,106.05,106.05
2022-08-19,105.64,105.64,105.64,105.64
2022-08-22,105.52,105.52,105.52,105.52
2022-08-23,105.57,105.57,105.57,105.57
2022-08-24,105.55,105.55,105.55,105.55
2022-08-25,105.35,105.35,105.35,105.35
2022-08-26,105.49,105.49,105.49,105.49
2022-08-29,105.28,105.28,105.28,105.28
2022-08-30,104.92,104.92,104.92,104.92
2022-08-31,104.76,104.76,104.76,104.76
2022-09-01,96.29,96.29,96.29,96.29
2022-09-02,95.55,95.55,95.55,95.55
2022-09-06,97.44,97.44,97.44,97.44
2022-09-07,97.19,97.19,97.19,97.19
2022-09-08,98.37,98.37,98.37,98.37
2022-09-09,100.21,100.21,100.21,100.21
2022-09-12,101.41,101.41,101.41,101.41
2022-09-13,101.43,101.43,101.43,101.43
2022-09-14,100.43,100.43,100.43,100.43
2022-09-15,100.39,100.39,100.39,100.39
2022-09-16,99.26,99.26,99.26,99.26
2022-09-19,98.99,98.99,98.99,98.99
2022-09-20,98.8,98.8,98.8,98.8
2022-09-21,98.65,98.65,98.65,98.65
2022-09-22,98.83,98.83,98.83,98.83
2022-09-23,98.89,98.89,98.89,98.89
2022-09-26,99.01,99.01,99.01,99.01
2022-09-27,98.71,98.71,98.71,98.71
2022-09-28,98.52,98.52,98.52,98.52
2022-09-29,98.42,98.42,98.42,98.42
2022-09-30,98.31,98.31,98.31,98.31
2022-10-03,94.22,94.22,94.22,94.22
2022-10-04,95.21,95.21,95.21,95.21
2022-10-05,95.26,95.26,95.26,95.26
2022-10-06,95.46,95.46,95.46,95.46
2022-10-07,95.62,95.62,95.62,95.62
2022-10-10,97.35,97.35,97.35,97.35
2022-10-11,96.97,96.97,96.97,96.97
2022-10-12,96.13,96.13,96.13,96.13
2022-10-13,95.4,95.4,95.4,95.4
2022-10-14,95.93,95.93,95.93,95.93
2022-10-17,94.93,94.93,94.93,94.93
2022-10-18,95.21,95.21,95.21,95.21
2022-10-19,94.86,94.86,94.86,94.86
2022-10-20,94.76,94.76,94.76,94.76
2022-10-21,94.86,94.86,94.86,94.86
2022-10-24,94.51,94.51,94.51,94.51
2022-10-25,94.61,94.61,94.61,94.61
2022-10-26,93.56,93.56,93.56,93.56
2022-10-27,92.81,92.81,92.81,92.81
2022-10-28,93.01,93.01,93.01,93.01
2022-10-31,92.43,92.43,92.43,92.43
2022-11-01,80.03,80.03,80.03,80.03
2022-11-02,82.1,82.1,82.1,82.1
2022-11-03,83.37,83.37,83.37,83.37
2022-11-04,85.16,85.16,85.16,85.16
2022-11-07,87.14,87.14,87.14,87.14
2022-11-08,85.33,85.33,85.33,85.33
2022-11-09,87.51,87.51,87.51,87.51
2022-11-10,88.19,88.19,88.19,88.19
2022-11-11,90.79,90.79,90.79,90.79
2022-11-14,92.09,92.09,92.09,92.09
2022-11-15,92.29,92.29,92.29,92.29
2022-11-16,92.34,92.34,92.34,92.34
2022-11-17,93.09,93.09,93.09,93.09
2022-11-18,92.89,92.89,92.89,92.89
2022-11-21,91.54,91.54,91.54,91.54
2022-11-22,91.45,91.45,91.45,91.45
2022-11-23,91.94,91.94,91.94,91.94
2022-11-25,92.74,92.74,92.74,92.74
2022-11-28,93.04,93.04,93.04,93.04
2022-11-29,92.9,92.9,92.9,92.9
2022-11-30,93.25,93.25,93.25,93.25
2022-12-01,103.1,103.1,103.1,103.1
2022-12-02,107.44,107.44,107.44,107.44
2022-12-05,107.68,107.68,107.68,107.68
2022-12-06,108.49,108.49,108.49,108.49
2022-12-07,107.09,107.09,107.09,107.09
2022-12-08,109.49,109.49,109.49,109.49
2022-12-09,110.48,110.48,110.48,110.48
2022-12-12,109.47,109.47,109.47,109.47
2022-12-13,109.23,109.23,109.23,109.23
2022-12-14,109.26,109.26,109.26,109.26
2022-12-15,110.5,110.5,110.5,110.5
2022-12-16,110.27,110.27,110.27,110.27
2022-12-19,109.56,109.56,109.56,109.56
2022-12-20,109.86,109.86,109.86,109.86
2022-12-21,110.74,110.74,110.74,110.74
2022-12-22,110.43,110.43,110.43,110.43
2022-12-23,110.48,110.48,110.48,110.48
2022-12-27,110.64,110.64,110.64,110.64
2022-12-28,110.8,110.8,110.8,110.8
2022-12-29,110.98,110.98,110.98,110.98
2022-12-30,111.28,111.28,111.28,111.28
2023-01-03,117.79,117.79,117.79,117.79
